date,key,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,income_support,debt_relief,fiscal_measures,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,pos_rate
2021-01-21,US_DE,2,2,1,4,0,1,1,1,2,NA,3,2,NA,NA,4,1,0.43212121212121213
2021-01-21,US_FL,2,1,1,4,0,2,1,1,1,0,2,1,0,0,3,2,0.10395493968393928
2021-01-21,US_GA,2,1,1,3,0,2,1,1,2,0,3,1,NA,NA,2,2,0.20676357916634955
2021-01-21,US_HI,2,2,2,4,1,2,2,1,2,0,3,2,0,0,3,2,0.026426826560071063
2021-01-21,US_IA,3,1,1,0,0,1,1,2,1,NA,2,1,NA,NA,3,2,0.35030864197530864
2021-01-21,US_ID,1,1,2,4,0,1,1,1,1,NA,2,1,NA,NA,3,2,0.37815126050420167
2021-01-21,US_IL,3,1,1,4,0,1,2,1,2,NA,3,1,NA,NA,3,2,0.05027464760289188
2021-01-21,US_IN,2,1,1,4,0,1,2,1,1,0,2,2,NA,NA,2,2,0.06622928050585719
2021-01-21,US_KY,2,1,1,4,2,1,1,1,1,0,3,2,0,0,3,2,0.375126288139018
2021-01-21,US_LA,2,2,2,4,1,1,1,1,1,NA,2,1,NA,NA,3,2,0.08606510170701928
2021-01-21,US_MA,2,2,2,4,1,1,2,1,1,0,3,2,0,0,4,2,0.04600540608273813
2021-01-21,US_MD,2,2,2,4,0,1,2,1,2,NA,3,2,NA,NA,4,2,0.057724595581376756
2021-01-21,US_ME,1,1,1,3,1,1,2,1,1,0,3,2,0,0,3,2,0.040721525096525095
2021-01-21,US_MI,2,2,1,4,1,1,1,1,1,0,3,2,0,0,3,2,0.04515317581529063
2021-01-21,US_MN,2,1,1,4,1,1,1,1,1,NA,3,1,NA,NA,2,2,0.03584735237665124
2021-01-21,US_MO,1,1,2,4,0,2,1,2,1,NA,3,1,NA,NA,3,3,0.099220376737204
2021-01-21,US_MS,2,1,1,4,0,1,1,1,1,NA,1,1,NA,NA,3,2,1
2021-01-21,US_MT,2,1,1,3,0,2,1,1,1,NA,3,1,NA,NA,3,3,0.08063855914858781
2021-01-21,US_NC,2,2,1,4,1,2,2,1,2,NA,2,1,NA,NA,4,2,0.12733199865350886
2021-01-21,US_ND,1,1,1,0,0,1,1,1,1,NA,2,2,NA,NA,3,3,0.03189655172413793
2021-01-21,US_NE,1,1,1,0,1,1,1,1,2,NA,3,2,NA,NA,2,3,0.05253655894565806
2021-01-21,US_NH,2,1,1,0,0,1,2,1,1,NA,3,1,NA,NA,3,2,0.08640855011090946
2021-01-21,US_NJ,2,1,1,4,0,1,1,1,2,NA,3,2,NA,NA,3,3,1
2021-01-21,US_NM,2,2,2,4,2,1,2,1,1,NA,3,2,NA,NA,3,3,0.07138212556896179
2021-01-21,US_NV,2,1,1,4,0,1,1,1,1,NA,3,1,NA,NA,3,2,0.06226973172123917
2021-01-21,US_NY,2,2,2,4,1,1,2,2,2,NA,3,2,NA,NA,3,2,0.06183400202165036
2021-01-21,US_OH,2,1,1,4,0,2,1,1,1,NA,3,2,NA,NA,3,2,0.15666207015427044
2021-01-21,US_OK,2,1,1,0,1,1,1,1,1,NA,3,1,NA,NA,3,2,0.18898191796242877
2021-01-21,US_OR,2,2,2,4,0,1,1,1,2,0,2,1,0,0,3,3,0.04225705329153605
2021-01-21,US_PA,2,1,1,2,0,1,2,1,1,0,3,2,0,0,3,3,0.1017661749645148
2021-01-21,US_RI,1,2,1,4,0,1,2,1,2,NA,3,2,NA,NA,3,2,0.033990736590467654
2021-01-21,US_SC,2,1,1,2,0,1,1,1,1,0,3,2,0,0,3,2,0.12018820609601613
2021-01-21,US_SD,1,1,1,0,0,1,1,1,1,0,2,1,NA,NA,2,2,0.15248868778280544
2021-01-21,US_TN,2,2,1,4,1,1,1,1,1,0,3,1,0,0,3,2,0.15400220507166482
2021-01-21,US_TX,2,2,2,4,0,1,1,1,1,NA,1,1,NA,NA,3,3,0.176979943328426
2021-01-21,US_UT,2,1,1,0,0,1,1,1,1,0,2,1,0,0,2,2,0.16466971464606653
2021-01-21,US_VA,2,1,2,4,0,2,1,1,2,0,3,2,0,0,3,3,0.16360226670471686
2021-01-21,US_VT,2,2,2,4,0,1,2,2,2,NA,3,2,NA,NA,3,2,0.02470534904805077
2021-01-21,US_WA,2,2,2,4,1,1,1,1,2,0,2,1,0,0,3,2,0.0638579255620631
2021-01-21,US_WI,2,1,1,4,1,1,1,1,1,0,3,1,0,0,3,2,0.07181193045228378
2021-01-21,US_WV,2,1,2,3,0,1,1,1,1,0,3,2,0,0,3,3,0.05630091039770005
