date,key,workplace_closing,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,public_information_campaigns,testing_policy,contact_tracing,facial_coverings,pos_rate
2020-10-09,US_MO,1,3,0,1,1,3,0,1,2,2,1,3,9.301032933438325
2020-10-09,US_MT,1,3,0,2,1,3,0,1,2,3,2,3,14.209801220232238
2020-10-09,US_NC,2,3,1,1,1,3,1,2,2,2,1,4,5.083474957512746
2020-10-09,US_ND,1,2,0,1,1,3,0,1,2,2,2,1,7.290841163817502
2020-10-09,US_NE,1,1,1,1,1,3,1,1,2,2,2,2,7.74261357001051
2020-10-09,US_NH,1,0,0,1,1,3,0,1,2,3,2,2,1.7520472290992193
2020-10-09,US_NJ,2,3,0,1,1,3,1,2,2,3,2,3,2.6976591015121163
2020-10-09,US_NM,2,4,2,1,2,3,1,1,2,3,1,3,7.940406024885396
2020-10-09,US_NV,1,2,0,1,1,3,1,1,2,2,1,3,8.224178655786988
2020-10-09,US_NY,3,4,1,1,2,3,2,2,2,3,2,3,1.1428571428571428
2020-10-09,US_OH,1,4,0,1,1,3,1,1,2,3,2,3,4.039250982372182
2020-10-09,US_OK,1,2,0,1,1,3,0,1,2,3,1,3,8.911759546225367
2020-10-09,US_OR,2,4,0,1,1,3,1,2,2,2,2,3,4.140182099295654
2020-10-09,US_PA,1,4,0,1,1,3,1,1,2,3,2,4,3.4268686367022596
2020-10-09,US_RI,2,3,0,1,2,3,2,2,2,3,2,3,4.7801881359186025
2020-10-09,US_SC,1,4,0,1,1,3,1,1,2,3,2,3,4.199917916913676
2020-10-09,US_SD,1,0,0,1,1,3,0,1,2,2,1,2,17.39506707053224
2020-10-09,US_TN,1,3,1,1,1,3,0,1,2,3,1,3,5.808137364688316
2020-10-09,US_TX,2,4,0,1,1,3,0,1,2,2,1,3,5.937855864649422
2020-10-09,US_UT,1,3,0,1,1,3,0,1,2,2,2,3,10.115236875800257
2020-10-09,US_VA,1,3,0,1,1,3,1,1,2,3,2,2,3.7485698903021736
2020-10-09,US_VT,1,3,0,1,2,3,2,2,2,3,2,3,0.4271222637479979
2020-10-09,US_WA,2,4,1,1,1,3,1,2,2,2,1,3,2.4936193695247293
2020-10-09,US_WI,1,4,1,1,1,3,1,1,2,3,2,3,9.089081037603057
2020-10-09,US_WV,1,3,0,1,1,3,1,1,2,3,2,2,4.801407742584213
2020-10-09,US_WY,1,2,2,1,1,3,0,1,2,2,2,2,8.054358634405038
2020-10-10,US_AK,1,3,0,1,2,3,1,2,2,3,2,3,8.229098090849243
2020-10-10,US_AL,1,0,0,1,1,3,1,1,2,3,2,3,13.485002541942043
2020-10-10,US_AR,2,3,1,1,1,3,1,1,2,3,2,3,7.922871324933181
2020-10-10,US_AZ,2,3,0,1,1,3,2,1,2,3,2,3,4.656977652758243
2020-10-10,US_CA,2,3,0,1,1,3,2,2,2,3,2,3,2.6791501113083664
2020-10-10,US_CO,2,4,1,1,1,3,1,2,2,2,2,2,4.505020257178087
2020-10-10,US_DC,2,3,0,1,2,3,0,2,2,2,2,3,0.9601396566773349
2020-10-10,US_DE,2,2,0,1,1,3,1,2,2,3,2,3,11.092436974789916
2020-10-10,US_FL,1,0,1,2,1,3,0,1,2,2,1,3,16.463170980775207
2020-10-10,US_GA,1,3,0,2,1,3,0,2,2,3,1,2,6.206723532363271
2020-10-10,US_HI,2,4,1,2,2,3,1,2,2,2,2,3,4.321634363541121
2020-10-10,US_IA,1,0,0,1,1,3,2,2,2,2,1,3,20.54197460678416
2020-10-10,US_ID,2,4,0,1,2,3,0,1,2,2,1,2,15.863886891924276
2020-10-10,US_IL,1,3,0,1,2,3,1,1,2,3,1,4,4.3845085728085005
2020-10-10,US_IN,1,0,0,1,1,3,1,1,2,3,2,3,7.799918666124441
2020-10-10,US_KY,1,4,2,1,1,3,0,2,2,3,2,3,9.064247090092568
2020-10-10,US_MA,2,3,1,1,1,3,0,1,2,3,2,4,0.9217586982863077
2020-10-10,US_MD,1,3,0,1,1,3,0,2,2,2,2,3,1.8894830659536541
2020-10-10,US_ME,2,3,1,1,2,3,1,1,2,3,2,2,0.509683995922528
2020-10-10,US_MI,1,3,1,1,1,3,1,1,2,3,1,3,3.620545718177424
2020-10-10,US_MN,1,3,0,1,1,3,1,1,2,3,1,2,4.665046004246546
2020-10-10,US_MO,1,3,0,1,1,3,0,1,2,2,1,3,6.779978586723769
2020-10-10,US_MT,1,3,0,2,1,3,0,1,2,3,2,3,37.72990015764582
2020-10-10,US_NC,2,3,1,1,1,3,1,2,2,2,1,4,5.635820605589685
2020-10-10,US_ND,1,2,0,1,1,3,0,1,2,2,2,1,7.330227997058103
2020-10-10,US_NE,1,1,1,1,1,3,1,1,2,2,2,2,5.5812757201646095
2020-10-10,US_NH,1,0,0,1,1,3,0,1,2,3,2,2,2.1254355400696863
2020-10-10,US_NJ,2,3,0,1,1,3,1,2,2,3,2,3,2.815779743451179
2020-10-10,US_NM,2,4,2,1,2,3,1,1,2,3,1,3,5.0109386394416084
2020-10-10,US_NV,1,2,0,1,1,3,1,1,2,2,1,3,9.735475298949149
2020-10-10,US_NY,3,4,1,1,2,3,2,2,2,3,2,3,1.0752048982382094
2020-10-10,US_OH,1,4,0,1,1,3,1,1,2,3,2,3,2.977536725148767
2020-10-10,US_OK,1,2,0,1,1,3,0,1,2,3,1,3,8.929403541472507
2020-10-10,US_OR,2,4,0,1,1,3,1,2,2,2,2,3,3.032544378698225
2020-10-10,US_PA,1,4,0,1,1,3,1,1,2,3,2,4,3.577369339767943
2020-10-10,US_RI,2,3,0,1,2,3,2,2,2,3,2,3,1.5790636042402826
2020-10-10,US_SC,1,4,0,1,1,3,1,1,2,3,2,3,5.326044073719213
2020-10-10,US_SD,1,0,0,1,1,3,0,1,2,2,1,2,12.50427058421592
2020-10-10,US_TN,1,3,1,1,1,3,0,1,2,3,1,3,6.79042904290429
2020-10-10,US_TX,2,4,0,1,1,3,0,1,2,2,1,3,11.958385056452089
2020-10-10,US_UT,1,3,0,1,1,3,0,1,2,2,2,3,10.440280669288303
2020-10-10,US_VA,1,3,0,1,1,3,1,1,2,3,2,2,6.718733283406441
2020-10-10,US_VT,1,3,0,1,2,3,2,2,2,3,2,3,0.2254283137962128
2020-10-10,US_WA,2,4,1,1,1,3,1,2,2,2,1,3,3.380675203725262
2020-10-10,US_WI,1,4,1,1,1,3,1,1,2,3,2,3,9.069263408528954
2020-10-10,US_WV,1,3,0,1,1,3,1,1,2,3,2,2,1.9692190039193194
2020-10-10,US_WY,1,2,2,1,1,3,0,1,2,2,2,2,13.84083044982699
2020-10-11,US_AK,1,3,0,1,2,3,1,2,2,3,2,3,6.022187004754358
2020-10-11,US_AL,1,0,0,1,1,3,1,1,2,3,2,3,14.348514155090557
2020-10-11,US_AR,2,3,1,1,1,3,1,1,2,3,2,3,6.858357574401432
2020-10-11,US_AZ,2,3,0,1,1,3,2,1,2,3,2,3,5.90796635329045
2020-10-11,US_CA,2,3,0,1,1,3,2,2,2,3,2,3,2.046167810677567
2020-10-11,US_CO,2,4,1,1,1,3,1,2,2,2,2,3,4.306672976810223
2020-10-11,US_DC,2,3,0,1,2,3,0,2,2,2,2,3,0.5376344086021505
2020-10-11,US_DE,2,2,0,1,1,3,1,2,2,3,2,3,7.699757869249395
2020-10-11,US_FL,1,0,1,2,1,3,0,1,2,2,1,3,1.4989981475180523
2020-10-11,US_GA,1,3,0,2,1,3,0,2,2,3,1,2,6.1688311688311686
2020-10-11,US_HI,2,4,1,2,2,3,1,2,2,2,2,3,1.02853831667391
2020-10-11,US_IA,1,0,0,1,1,3,2,2,2,2,1,3,19.973987365291713
